appid,name,o_name,header_image
251570,7 days to die,7 Days to Die,https://steamcdn-a.akamaihd.net/steam/apps/251570/header.jpg?t=1502044027
346900,adventure capitalist,AdVenture Capitalist,https://steamcdn-a.akamaihd.net/steam/apps/346900/header.jpg?t=1523923835
221380,age of empires ii hd edition,Age of Empires II HD,https://steamcdn-a.akamaihd.net/steam/apps/221380/header.jpg?t=1548823294
105450,age of empires iii complete collection,Age of Empires III: Complete Collection,https://steamcdn-a.akamaihd.net/steam/apps/105450/header.jpg?t=1547569230
266840,age of mythology extended edition,Age of Mythology: Extended Edition,https://steamcdn-a.akamaihd.net/steam/apps/266840/header.jpg?t=1447359611
226840,age of wonders iii,Age of Wonders III,https://steamcdn-a.akamaihd.net/steam/apps/226840/header.jpg?t=1541059262
108710,alan wake,Alan Wake,https://steamcdn-a.akamaihd.net/steam/apps/108710/header.jpg?t=1540487129
214490,alien isolation,Alien: Isolation,https://steamcdn-a.akamaihd.net/steam/apps/214490/header.jpg?t=1521734254
630,alien swarm,Alien Swarm,https://steamcdn-a.akamaihd.net/steam/apps/630/header.jpg?t=1447353182
10680,aliens vs predator,Aliens vs. Predator,https://steamcdn-a.akamaihd.net/steam/apps/10680/header.jpg?t=1532338834
203290,americas army proving grounds,America's Army: Proving Grounds,https://steamcdn-a.akamaihd.net/steam/apps/203290/header.jpg?t=1490199189
57300,amnesia the dark descent,Amnesia: The Dark Descent,https://steamcdn-a.akamaihd.net/steam/apps/57300/header.jpg?t=1551864813
48240,anno 2070,Anno 2070,https://steamcdn-a.akamaihd.net/steam/apps/48240/header.jpg?t=1454694781
219890,antichamber,Antichamber,https://steamcdn-a.akamaihd.net/steam/apps/219890/header.jpg?t=1525832559
113400,apb reloaded,APB Reloaded,https://steamcdn-a.akamaihd.net/steam/apps/113400/header.jpg?t=1544328716
207230,archeblade,ArcheBlade,https://steamcdn-a.akamaihd.net/steam/apps/207230/header.jpg?t=1447355405
346110,ark survival evolved,ARK: Survival Evolved,https://steamcdn-a.akamaihd.net/steam/apps/346110/header_alt_assets_1.jpg?t=1555430604
33900,arma 2,Arma 2,https://steamcdn-a.akamaihd.net/steam/apps/33900/header.jpg?t=1521639563
