name,appid
7 days to die,251570
adventure capitalist,346900
age of empires ii hd edition,221380
age of empires iii complete collection,105450
age of mythology extended edition,266840
age of wonders iii,226840
alan wake,108710
alien isolation,214490
alien swarm,630
aliens vs predator,10680
americas army proving grounds,203290
amnesia the dark descent,57300
anno 2070,48240
antichamber,219890
apb reloaded,113400
archeblade,207230
ark survival evolved,346110
arma 2,33900
arma 2 operation arrowhead,33930
arma 3,107410
assassins creed,15100
assassins creed brotherhood,48190
assassins creed ii,33230
assassins creed iii,911400
assassins creed iv black flag,242050
assassins creed revelations,201870
baldurs gate enhanced edition,228280
banished,242920
bastion,107100
batman arkham asylum goty edition,35140
batman arkham city,200260
batman arkham origins,209000
battleblock theater,238460
battlefield bad company 2,24960
besiege,346010
bioshock,409710
bioshock 2,409720
bioshock infinite,8870
blockade 3d,302830
borderlands,729040
borderlands 2,49520
borderlands the presequel,261640
braid,26800
brawlhalla,291550
brink,22350
broforce,274190
brothers  a tale of two sons,225080
burnout paradise the ultimate box,24740
call of duty 4 modern warfare,7940
call of duty advanced warfare,209650
call of duty black ops,42700
call of duty black ops ii,202970
call of duty black ops iii,311210
call of duty ghosts,209160
call of duty modern warfare 2,10180
call of duty world at war,10090
castle crashers,204360
chivalry medieval warfare,219640
cities skylines,255710
clicker heroes,363970
command and conquer red alert 3,17480
company of heroes 2,231430
company of heroes new steam version,228200
contagion,238430
counterstrike,10
counterstrike condition zero,80
counterstrike global offensive,730
counterstrike nexon zombies,273110
counterstrike source,240
crusader kings ii,203770
cry of fear,223710
crysis,17300
crysis 2 maximum edition,108800
dark souls ii,236430
dark souls ii scholar of the first sin,335300
darkest dungeon,262060
day of defeat,30
day of defeat source,300
dayz,221100
dc universe online,24200
dead island riptide,383180
dead space,17470
defense grid the awakening,18500
defiance,224600
democracy 3,245470
depth,274940
deus ex human revolution,238010
dino dday,70000
dirt 3,44320
dirty bomb,333930
dishonored,205100
divinity original sin,373420
dmc devil may cry,220440
dota 2,570
dragon age origins,17450
dragon age origins  ultimate edition,47810
dragon ball xenoverse,323470
duke nukem forever,57900
dungeon defenders,65800
dungeon defenders ii,236110
dungeons of dredmor,98800
dust an elysian tail,236090
dying light,239140
elite dangerous,359320
empire total war,10500
endless legend,289130
euro truck simulator 2,227300
europa universalis iv,236850
eve online,8500
evolve,765570
fable  the lost chapters,204030
fallout 3,22300
fallout 3  game of the year edition,22370
fallout 4,377160
fallout new vegas,22380
far cry 2,19900
far cry 3,220240
far cry 3 blood dragon,233270
far cry 4,298110
farming simulator 15,313160
fear 2 project origin,16450
fear 3,21100
fez,224760
final fantasy vii,39140
final fantasy viii,39150
fistful of frags,265630
ftl faster than light,212680
game dev tycoon,239820
garrys mod,4000
goat simulator,265930
gotham city impostors free to play,206210
grand theft auto episodes from liberty city,12220
grand theft auto iv,12210
grand theft auto san andreas,12120
grand theft auto v,271590
grand theft auto vice city,12110
grid 2,44350
grid autosport,255220
gunpoint,206190
guns of icarus online,209080
gunz 2 the second duel,242720
halflife,70
halflife 2,220
halflife 2 deathmatch,320
halflife 2 episode one,380
halflife 2 episode two,420
halflife blue shift,130
halflife opposing force,50
halflife source,280
hammerwatch,239070
hero siege,269210
heroes  generals,227940
hitman absolution,203140
homefront,55100
homeworld remastered collection,244160
hotline miami,219150
how to survive,250400
injustice gods among us ultimate edition,242700
insurgency,222880
just cause 2,8190
just cause 2 multiplayer mod,259080
kerbal space program,220200
killing floor,1250
killing floor 2,232090
kingdoms of amalur reckoning,102500
la noire,110800
left 4 dead,500
left 4 dead 2,550
legend of grimrock,207170
lego marvel super heroes,249130
life is strange,319630
limbo,48000
mad max,234140
mafia ii,50130
magic duels,316010
magicka,42910
mass effect,17460
mass effect 2,24980
max payne 3,204100
medieval ii total war,4700
medieval ii total war kingdoms,4780
metal gear rising revengeance,235460
metal gear solid v ground zeroes,311340
metal gear solid v the phantom pain,287700
metro 2033,286690
metro last light,287390
middleearth shadow of mordor,241930
mirrors edge,17410
mitosis the game,389570
mortal kombat x,307780
mount  blade warband,48700
natural selection 2,4920
need for speed hot pursuit,47870
neverwinter,109600
no more room in hell,224260
orcs must die,102600
orcs must die 2,201790
ori and the blind forest,387290
orion prelude,104900
outlast,238320
papers please,239030
path of exile,238960
payday 2,218620
payday the heist,24240
pillars of eternity,291650
plague inc evolved,246620
planetside 2,218230
plants vs zombies game of the year,3590
portal,400
portal 2,620
postal 2,223470
prison architect,233450
project cars,234630
project zomboid,108600
prototype 2,115320
psychonauts,3830
rage,9200
realm of the mad god,200210
red faction armageddon,55110
reign of kings,344760
resident evil 5  biohazard 5,21690
resident evil 6  biohazard 6,221040
reus,222730
rift,39120
risk of rain,248820
robocraft,301520
rocket league,252950
rogue legacy,241600
rome total war,4760
rust,252490
saints row 2,9480
saints row iv,206420
saints row the third,55230
sakura clicker,383080
sanctum 2,210770
scribblenauts unlimited,218680
serious sam 3 bfe,41070
serious sam hd the second encounter,204340
shadow warrior,233130
shadowrun returns,234650
sid meiers civilization beyond earth,65980
sid meiers civilization iv beyond the sword,3900
sid meiers civilization v,8930
simcity 4 deluxe,24780
sins of a solar empire rebellion,204880
skullgirls,245170
sleeping dogs,307690
smite,386360
sniper elite 3,238090
sniper ghost warrior,34830
sniper ghost warrior 2,34870
source filmmaker,1840
south park the stick of truth,213670
space engineers,244850
space pirates and zombies,107200
spec ops the line,50300
speedrunners,207140
spiral knights,99900
spore,17390
stalker shadow of chernobyl,4500
star conflict,212070
star trek online,9900
star wars republic commando,6000
starbound,211820
state of decay,329430
stranded deep,313120
stronghold kingdoms,47410
supreme commander 2,40100
supreme commander forged alliance,9420
surgeon simulator,233720
team fortress 2,440
terraria,105600
the banner saga,237990
the binding of isaac,113200
the binding of isaac rebirth,250900
the darkness ii,67370
the elder scrolls iii morrowind,22320
the elder scrolls v skyrim,72850
the escapists,298630
the expendabros,312990
the forest,242760
the incredible adventures of van helsing,215530
the long dark,305620
the ship,383790
the simstm 3,47890
the stanley parable,221910
the witcher 2 assassins of kings enhanced edition,20920
the witcher 3 wild hunt,292030
the witcher enhanced edition,20900
the wolf among us,250320
thief,239160
this war of mine,282070
tom clancys splinter cell blacklist,235600
tomb raider,203160
torchlight,41500
torchlight ii,200710
toribash,248570
total war attila,325610
total war rome ii  emperor edition,214950
total war shogun 2,345240
transformice,335240
